iter	RMSE
167	3.227225401
168	3.226781447
169	3.225797387
170	3.225312478
171	3.225000803
172	3.224574947
173	3.223672279
174	3.223056531
175	3.222259021
176	3.221928995
177	3.22137708
178	3.220925242
179	3.22032848
180	3.220094471
181	3.219414616
182	3.218864567
183	3.218417164
184	3.217641916
185	3.216624122
186	3.215424348
187	3.214742562
188	3.21460877
189	3.21412646
190	3.213903809
191	3.213610841
192	3.212954806
193	3.212570012
194	3.211790892
195	3.211169496
196	3.21094663
197	3.210372747
198	3.210068241
199	3.209645582
200	3.209062847
201	3.208845106
202	3.207414751
203	3.207075873
204	3.206659161
205	3.206119374
206	3.205504912
207	3.204939772
208	3.204666925
209	3.20401482
210	3.202851781
211	3.202495669
212	3.202256569
213	3.202056297
214	3.201561245
215	3.201124384
216	3.200512439
217	3.200231126
218	3.199846728
219	3.199308211
220	3.199106661
221	3.198523441
222	3.197730383
223	3.197098055
224	3.197043038
225	3.19670182
226	3.196052881
227	3.195930324
228	3.195670734
229	3.195455386
230	3.195208307
231	3.194893377
232	3.194475783
233	3.19342966
234	3.19322819
235	3.192835833
236	3.192642528
237	3.192199667
238	3.191587215
239	3.191438794
240	3.191170073
241	3.190951575
242	3.190546638
243	3.190489813
244	3.190313293
245	3.189386218
246	3.189089562
247	3.188543065
248	3.188388783
249	3.188250691
250	3.187483512
251	3.187420873
252	3.187224156
253	3.186535826
254	3.186487882
255	3.185860191
256	3.185818067
257	3.18573284
258	3.184866886
259	3.18479935
260	3.184505941
261	3.184285479
262	3.183651982
263	3.183601495
264	3.183403747
265	3.183358265
266	3.182508956
267	3.181620108
268	3.180749308
269	3.180217623
270	3.180173243
271	3.179596772
272	3.179556941
273	3.178490403
274	3.177998403
275	3.177958968
276	3.177352501
277	3.176819622
278	3.1767746
279	3.176732745
280	3.176694418
281	3.176075333
282	3.175258493
283	3.174245647
284	3.173591075
285	3.172772004
286	3.172380889
287	3.171755315
288	3.171180302
289	3.170834113
290	3.170608176
291	3.170040185
292	3.169995114
293	3.169324993
294	3.168093582
295	3.16724464
296	3.167018013
297	3.166717357
298	3.166034814
299	3.165739818
300	3.16551352
301	3.164160673
302	3.162961107
303	3.162121432
304	3.161300413
305	3.16081392
306	3.159852371
307	3.159785981
308	3.159238994
309	3.158086375
310	3.158052672
311	3.157019515
312	3.156263097
313	3.155793122
314	3.155404571
315	3.155053977
316	3.154216454
317	3.15345474
318	3.153063311
319	3.15302052
320	3.152678973
321	3.152014547
322	3.151310054
323	3.150727277
324	3.150174733
325	3.149418465
326	3.14851192
327	3.148230442
328	3.147633412
329	3.147494115
330	3.147340301
331	3.146921674
332	3.146515129
333	3.146194069
334	3.14559958
335	3.145082976
336	3.144550866
337	3.143774206
338	3.14268722
339	3.142507629
340	3.142042305
341	3.141534089
342	3.14125711
343	3.140968212
344	3.140484086
345	3.139637692
346	3.139321227
347	3.138846758
348	3.138804197
349	3.138009873
350	3.137588002
351	3.137416371
352	3.136737929
353	3.136134752
354	3.135901314
355	3.135280906
356	3.134906708
357	3.134370203
358	3.133218932
359	3.132685006
360	3.132563625
361	3.132509262
362	3.132356787
363	3.132127418
364	3.131680361
365	3.131525163
366	3.130994962
367	3.130814325
368	3.130071725
369	3.129651733
370	3.129608721
371	3.129575023
372	3.129539834
373	3.128961397
374	3.128273913
375	3.127753426
376	3.127332822
377	3.126689544
378	3.125878306
379	3.125635807
380	3.124466941
381	3.124304277
382	3.123915101
383	3.123458232
384	3.122983472
385	3.12252281
386	3.122010355
387	3.121724459
388	3.120912761
389	3.12037189
390	3.120171959
391	3.119956554
392	3.119399999
393	3.118257409
394	3.118222973
395	3.117856568
396	3.117331092
397	3.116658798
398	3.116491353
399	3.115902019
400	3.115818108
401	3.115159311
402	3.114711924
403	3.114089096
404	3.113535678
405	3.113000199
406	3.112532422
407	3.112322674
408	3.111258131
409	3.111084096
410	3.110857585
411	3.1105295
412	3.110379095
413	3.109966949
414	3.109347808
415	3.108637477
416	3.10844934
417	3.108141062
418	3.107973596
419	3.107929511
420	3.107545226
421	3.106475147
422	3.10599866
423	3.105922704
424	3.105170162
425	3.104620823
426	3.104252703
427	3.103642868
428	3.1033637
429	3.10304486
430	3.102305015
431	3.101855233
432	3.101035724
433	3.101007458
434	3.100581465
435	3.100548927
436	3.10001163
437	3.099963321
438	3.099214218
439	3.09875991
440	3.098090992
441	3.097612495
442	3.097574296
443	3.097531747
444	3.097201193
445	3.097176063
446	3.09632503
447	3.095998376
448	3.095607403
449	3.095257867
450	3.094822034
451	3.094289474
452	3.094155138
453	3.093338105
454	3.093052862
455	3.092557973
456	3.092353269
457	3.091935832
458	3.091657568
459	3.09131623
460	3.090911786
461	3.090519189
462	3.090178919
463	3.089935055
464	3.089661903
465	3.089312673
466	3.088974287
467	3.088373228
468	3.088248058
469	3.087809597
470	3.087725687
471	3.087320955
472	3.086862398
473	3.086374412
474	3.085307817
475	3.085272257
476	3.084534768
477	3.084463657
478	3.084097083
479	3.083278821
480	3.082687462
481	3.082415642
482	3.08192131
483	3.081283187
484	3.081080322
485	3.080658573
486	3.080307015
487	3.079853005
488	3.079572767
489	3.079334253
490	3.078547461
491	3.078259826
492	3.077883394
493	3.077582144
494	3.076996682
495	3.076574319
496	3.07602847
497	3.07593263
498	3.075375727
499	3.075205765
